timestamp,emotion,confidence
2025-12-29 14:44:42,confused,85.07
2025-12-29 14:44:42,confused,79.09
2025-12-29 14:44:42,confused,77.36
2025-12-29 14:44:42,confused,72.54
2025-12-29 14:44:42,confused,65.51
2025-12-29 14:44:42,confused,62.36
2025-12-29 14:44:43,excited,62.36
2025-12-29 14:44:43,excited,64.14
2025-12-29 14:44:44,excited,63.48
2025-12-29 14:44:44,excited,60.30
2025-12-29 14:44:44,confused,65.95
2025-12-29 14:44:45,confused,72.69
2025-12-29 14:44:45,confused,77.29
2025-12-29 14:44:45,confused,84.17
2025-12-29 14:44:45,confused,89.58
2025-12-29 14:44:45,confused,89.44
2025-12-29 14:44:45,confused,88.29
2025-12-29 14:44:45,confused,88.57
2025-12-29 14:44:46,confused,87.92
2025-12-29 14:44:46,confused,87.90
2025-12-29 14:44:46,confused,86.92
2025-12-29 14:44:46,confused,87.65
2025-12-29 14:44:46,confused,87.61
2025-12-29 14:44:46,confused,88.29
2025-12-29 14:44:46,confused,89.55
2025-12-29 14:44:46,confused,89.31
2025-12-29 14:44:47,confused,90.87
2025-12-29 14:44:47,confused,91.53
2025-12-29 14:44:47,confused,91.88
2025-12-29 14:44:47,confused,92.32
2025-12-29 14:44:47,confused,93.15
2025-12-29 14:44:47,confused,92.86
2025-12-29 14:44:47,confused,92.07
2025-12-29 14:44:48,confused,90.71
2025-12-29 14:44:48,confused,83.33
2025-12-29 14:44:48,confused,74.63
2025-12-29 14:44:48,confused,66.00
2025-12-29 14:44:49,surprise,62.70
2025-12-29 14:44:49,surprise,61.75
2025-12-29 14:44:49,surprise,60.74
2025-12-29 14:44:53,surprise,61.77
2025-12-29 14:44:59,fear,61.03
2025-12-29 15:31:25,confused,60.42
2025-12-29 15:31:26,confused,61.32
2025-12-29 15:31:26,confused,62.24
2025-12-29 15:31:26,confused,67.08
2025-12-29 15:31:26,confused,70.44
2025-12-29 15:31:27,confused,74.76
2025-12-29 15:31:27,confused,76.32
2025-12-29 15:31:27,confused,73.38
2025-12-29 15:31:27,confused,76.13
2025-12-29 15:31:27,confused,76.99
2025-12-29 15:31:27,confused,78.63
2025-12-29 15:31:27,confused,74.80
2025-12-29 15:31:28,confused,75.99
2025-12-29 15:31:28,confused,74.47
2025-12-29 15:31:28,confused,68.20
2025-12-29 15:31:28,confused,61.19
2025-12-29 15:31:28,confused,60.47
2025-12-29 15:31:29,confused,60.97
2025-12-29 15:31:29,confused,61.55
2025-12-29 15:31:29,confused,61.52
2025-12-29 15:31:29,confused,67.21
2025-12-29 15:31:29,confused,64.12
2025-12-29 15:31:30,confused,61.99
2025-12-29 15:31:30,confused,66.88
2025-12-29 15:31:30,confused,70.66
2025-12-29 15:31:30,confused,71.26
2025-12-29 15:31:30,confused,75.70
2025-12-29 15:31:30,confused,74.70
2025-12-29 15:31:30,confused,75.08
2025-12-29 15:31:30,confused,75.40
2025-12-29 15:31:31,confused,76.13
2025-12-29 15:31:31,confused,80.81
2025-12-29 15:31:31,confused,85.92
2025-12-29 15:31:31,confused,86.37
2025-12-29 15:31:31,confused,87.06
2025-12-29 15:31:31,confused,88.81
2025-12-29 15:31:32,confused,89.48
2025-12-29 15:31:32,confused,88.01
2025-12-29 15:31:32,confused,87.65
2025-12-29 15:31:32,confused,87.39
2025-12-29 15:31:32,confused,81.60
2025-12-29 15:31:32,confused,80.15
2025-12-29 15:31:32,confused,80.10
2025-12-29 15:31:33,confused,81.82
2025-12-29 15:31:33,confused,83.89
2025-12-29 15:31:33,confused,81.61
2025-12-29 15:31:33,confused,76.51
2025-12-29 15:31:33,confused,78.40
2025-12-29 15:31:33,confused,76.99
2025-12-29 15:31:33,confused,75.79
2025-12-29 15:31:33,confused,80.88
2025-12-29 15:31:34,confused,81.82
2025-12-29 15:31:34,confused,80.69
2025-12-29 15:31:34,confused,79.99
2025-12-29 15:31:34,confused,80.28
2025-12-29 15:31:34,confused,82.24
2025-12-29 15:31:34,confused,86.14
2025-12-29 15:31:35,confused,86.22
2025-12-29 15:31:35,confused,86.12
2025-12-29 15:31:35,confused,82.69
2025-12-29 15:31:35,confused,77.48
2025-12-29 15:31:35,confused,70.33
2025-12-29 15:31:35,confused,69.61
2025-12-29 15:31:36,confused,66.75
2025-12-29 15:31:36,confused,63.60
2025-12-29 15:31:38,confused,64.96
2025-12-29 15:31:39,confused,65.44
2025-12-29 15:31:39,confused,68.26
2025-12-29 15:31:39,confused,74.18
2025-12-29 15:31:39,confused,73.07
2025-12-29 15:31:39,confused,72.81
2025-12-29 15:31:39,confused,69.21
2025-12-29 15:31:39,confused,65.55
2025-12-29 15:31:40,confused,62.43
2025-12-29 15:31:40,confused,60.01
2025-12-29 15:31:40,confused,63.71
2025-12-29 15:31:40,confused,62.52
2025-12-29 15:31:40,confused,62.56
2025-12-29 15:31:40,confused,66.28
2025-12-29 15:31:40,confused,69.74
2025-12-29 15:31:41,confused,77.12
2025-12-29 15:31:41,confused,82.91
2025-12-29 15:31:41,confused,85.47
2025-12-29 15:31:41,confused,87.99
2025-12-29 15:31:41,confused,88.73
2025-12-29 15:31:41,confused,88.89
2025-12-29 15:31:41,confused,89.50
2025-12-29 15:31:42,confused,89.41
2025-12-29 15:31:42,confused,88.44
2025-12-29 15:31:42,confused,88.09
2025-12-29 15:31:42,confused,88.43
2025-12-29 15:31:42,confused,88.49
2025-12-29 15:31:42,confused,88.22
2025-12-29 15:31:43,confused,81.59
2025-12-29 15:31:43,confused,81.81
2025-12-29 15:31:43,confused,81.82
2025-12-29 15:31:43,confused,82.55
2025-12-29 15:31:43,confused,81.87
2025-12-29 15:31:43,confused,82.49
2025-12-29 15:31:43,confused,82.66
2025-12-29 15:31:43,confused,81.08
2025-12-29 15:31:44,confused,81.42
2025-12-29 15:31:44,confused,81.70
2025-12-29 15:31:44,confused,88.64
2025-12-29 15:31:44,confused,86.27
2025-12-29 15:31:44,confused,79.09
2025-12-29 15:31:44,confused,75.60
2025-12-29 15:31:44,confused,72.71
2025-12-29 15:31:44,confused,70.61
2025-12-29 15:31:45,confused,70.67
2025-12-29 15:31:45,confused,68.16
2025-12-29 15:31:45,confused,61.96
2025-12-29 15:31:49,confused,66.68
2025-12-29 15:31:49,confused,65.22
2025-12-29 15:31:49,confused,65.66
2025-12-29 15:31:50,confused,63.52
